City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
114,san luis,-33.295,-66.3356,34.29,32,0,5.07,AR,1738939782
115,amqui,48.4638,-67.4313,-5.3,83,74,5.94,CA,1738939795
116,north bend,43.4065,-124.2243,2.92,100,40,4.12,US,1738939796
117,l'govskiy,51.6307,35.2775,-5.31,86,36,4.65,RU,1738939797
118,taltal,-25.4,-70.4833,21.02,76,32,1.94,CL,1738939221
119,tenabo,20.05,-90.2333,25.89,62,15,2.93,MX,1738939800
120,lihue,21.9789,-159.3672,18.77,94,75,2.06,US,1738939801
121,keflavik,64.0049,-22.5624,4.24,75,40,13.38,IS,1738939803
122,avellaneda,-29.1176,-59.6583,37.27,28,0,4.04,AR,1738939561
123,touros,-5.1989,-35.4608,29.95,60,53,6.27,BR,1738939704
124,badger,64.8,-147.5333,-7.7,88,100,0.0,US,1738939806
125,hamilton,39.1834,-84.5333,0.92,63,40,4.63,US,1738939489
126,fisterra,42.9049,-9.2629,10.73,78,62,9.34,ES,1738939808
127,mabaruma,8.2,-59.7833,27.2,76,100,2.29,GY,1738939809
128,port lincoln,-34.7333,135.8667,17.25,72,0,7.83,AU,1738939811
129,galle,6.0367,80.217,26.24,81,72,3.0,LK,1738939812
130,huarmey,-10.0681,-78.1522,23.37,82,98,3.05,PE,1738939813
131,kumertau,52.7667,55.7833,-15.04,99,38,2.68,RU,1738939814
132,saldanha,-33.0117,17.9442,21.25,82,29,6.85,ZA,1738939815
133,sur,22.5667,59.5289,21.78,66,100,6.23,OM,1738939816
134,suva,-18.1416,178.4415,23.71,100,20,0.0,FJ,1738939818
135,margaret river,-33.95,115.0667,23.29,57,79,6.24,AU,1738939819
136,lethem,3.3803,-59.7968,26.29,71,100,4.86,GY,1738939821
137,bandarbeyla,9.4942,50.8122,23.81,74,66,5.22,SO,1738939822
138,peace river,56.2501,-117.286,-14.83,85,100,1.03,CA,1738939823
139,longyearbyen,78.2186,15.6401,-2.09,74,75,12.35,SJ,1738939824
